Title,Combined_Skills,YearsOfExperience
Cloud Engineer - Fresher,"AWS; Azure; GCP; Terraform basics; CloudFormation basics; Docker basics; Kubernetes basics; Python; Bash; Shell scripting; Jenkins; GitHub Actions; AWS CodePipeline; Monitoring: CloudWatch, Prometheus, Azure Monitor; VPC; VPN; IAM basics; Git/GitHub/GitLab Cloud; DevOps; Infrastructure; Fresher; Entry-Level; Remote; AWS; Azure; GCP AWS; Azure; GCP; Terraform basics; CloudFormation basics; Docker/Kubernetes fundamentals; Python; Bash; Jenkins; GitHub Actions; CloudWatch; Prometheus; Git Cloud; DevOps; Fresher; Entry-Level; Remote; Bangalore; Automation; Containerization AWS; Azure; GCP; Terraform basics; CloudFormation basics; Docker basics; Kubernetes basics; Python; Bash; Jenkins; AWS CodePipeline; Monitoring: CloudWatch, Azure Monitor; Git/GitHub Cloud; Infrastructure; Entry-Level; Fresher; Remote; DevOps; AWS; Azure; GCP AWS basics; Azure basics; GCP basics; Terraform/CloudFormation awareness; Docker/Kubernetes; Python/Bash scripting; Jenkins; GitHub Actions; Monitoring fundamentals; Git Cloud; DevOps; Entry-Level; Fresher; Hyderabad; Remote; Containerization AWS; Azure; GCP; Terraform/CloudFormation basics; Docker/Kubernetes; Python/Bash scripting; Jenkins; AWS CodePipeline; Monitoring: CloudWatch, Prometheus; Git Cloud; Infrastructure; Entry-Level; Fresher; Pune; Remote; DevOps AWS; Azure; GCP; Terraform/CloudFormation basics; Docker/Kubernetes fundamentals; Python/Bash scripting; Jenkins; GitHub Actions; Monitoring: CloudWatch, Azure Monitor; Git/GitHub Cloud; DevOps; Entry-Level; Fresher; Chennai; Remote; Automation AWS basics; Azure basics; GCP basics; Terraform/CloudFormation knowledge; Docker/Kubernetes; Python/Bash scripting; Jenkins; GitHub Actions; Monitoring fundamentals; Git Cloud; Infrastructure; Entry-Level; Fresher; Remote; DevOps AWS; Azure; GCP; Terraform/CloudFormation basics; Docker/Kubernetes fundamentals; Python/Bash scripting; Jenkins; GitHub Actions; Monitoring: CloudWatch, Prometheus; Git/GitHub Cloud; DevOps; Entry-Level; Fresher; Remote; Automation AWS; Azure; GCP; Terraform basics; CloudFormation basics; Docker/Kubernetes; Python/Bash scripting; Jenkins/GitHub Actions; Monitoring fundamentals; Git Cloud; Infrastructure; Entry-Level; Fresher; Bangalore; Remote; DevOps",0.5
Cloud Infrastructure Architect,AWS; Azure; Hybrid cloud; SDN; Cloud networking; Terraform; Python Cloud Infrastructure; Hybrid Cloud; AWS; Azure; Terraform; Networking; Python,8.0
Cloud Infrastructure Security Architect,Cloud security; IAM; Encryption; Compliance; AWS; Azure; Terraform; Kubernetes Cloud Security; IAM; Encryption; Compliance; AWS; Azure; Terraform; Kubernetes,9.0
Cloud Migration Specialist,AWS; Azure; GCP; Terraform; Python; Cloud migration; Database migration Cloud Migration; AWS; Azure; GCP; Terraform; Database Migration; Cloud Architecture,4.0
Cloud Network Engineer,AWS Networking; Azure Networking; VPC; Load Balancers; Automation with Ansible Cloud Networking; AWS; Azure; VPC; Ansible,4.0
Cloud Platform Architect,AWS; Azure; Kubernetes; Docker Swarm; CI/CD; Terraform; Python Cloud Platform; Kubernetes; Docker Swarm; AWS; Azure; Terraform; CI/CD,7.0
Cloud Security Analyst,AWS Security; Azure Security; GCP Security; SIEM Tools; Firewall Management; Incident Response Cloud Security; Penetration Testing; Compliance; SIEM; Risk Management,5.5
Cloud Security Architect,Cloud security; IAM; Encryption; Compliance frameworks; AWS; Azure; Python scripting Cloud Security; IAM; Encryption; Compliance; AWS; Azure; Python,6.0
Cloud Solutions Associate,Cloud storage basics; Networking fundamentals; Docker; Terraform basics; Linux administration; Java basics AWS; Terraform; Cloud Basics; Infrastructure as Code; Docker; Virtualization; Python; Cloud Security,0.5
Cloud Trainee,Cloud storage basics; IAM fundamentals; Python scripting; Bash; Basic networking Cloud Security; IAM; Python; AWS; Azure; GCP; Cloud Computing,0.0
Content Writer,"Grammar and punctuation; Clarity in writing; Research skills; Fact-checking; Tone and style adaptation; Basic SEO; Editing and proofreading; WordPress basics; Digital marketing basics; AI writing tools awareness Content Writing; Grammar; Proofreading; SEO Basics; Research; WordPress; AI Writing Tools; Blogs; Articles; Social Media Content Content creation; Blog and article writing; Editing and proofreading; SEO basics; Keyword usage; Fact-checking; Research; CMS basics; Time management; Creativity Content Writing; SEO Basics; Blogs; Articles; Keyword Usage; Proofreading; Research; CMS; Creativity; Time Management Advanced writing skills; SEO optimization; Content strategy support; Editing and proofreading; Research and fact-checking; Blog and article writing; Social media content; AI-assisted content tools; WordPress or CMS proficiency; Digital marketing awareness Content Writing; SEO; Editing; Blog Writing; Social Media Content; AI Tools; WordPress; Proofreading; Research; Content Strategy Content strategy development; SEO keyword research; Advanced writing and editing; Fact-checking and research; Multi-format content creation (blogs, social media, video scripts); CMS tools; AI content tools; Analytics basics; Collaboration; Time management Content Writing; SEO; Content Strategy; Editing; Blogs; Social Media Content; AI Tools; CMS; Research; Time Management Content strategy; SEO optimization and backlinking; Advanced writing and editing; Multi-format content creation; Fact-checking and research; Digital marketing tools (Google Analytics, SEMrush); CMS and AI writing tools; Analytics and performance measurement; Collaboration with marketing and design teams; KPI tracking Content Strategy; SEO; Backlinking; Multi-format Content; Google Analytics; SEMrush; AI Tools; CMS; Editing; Research Advanced content strategy; SEO and keyword research; Content marketing; Multi-format content creation (blogs, whitepapers, social media, scripts); Editing and fact-checking; Digital marketing tools (Google Analytics, SEMrush, HubSpot); AI-assisted content creation; Performance tracking and KPI analysis; Collaboration with teams; Project management for content initiatives Content Strategy; SEO; Content Marketing; Multi-format Content; Google Analytics; SEMrush; HubSpot; AI Tools; Editing; Project Management Writing and grammar; SEO basics; Content research; Proofreading; Adaptation of tone and style; WordPress basics; AI content tools awareness; Digital marketing basics; Creativity; Time management Content Writing; SEO; Proofreading; WordPress; AI Tools; Blogs; Articles; Research; Creativity; Time Management Content strategy support; Advanced writing and editing; SEO optimization; Research and fact-checking; Multi-format content creation; CMS proficiency; AI content tools; Collaboration; Time management; Digital marketing awareness Content Writing; SEO; Content Strategy; Editing; Research; Multi-format Content; CMS; AI Tools; Collaboration; Time Management Content strategy development; Advanced SEO skills; Multi-format content creation; Editing and fact-checking; Digital marketing tools; AI-assisted content creation; Analytics and KPI tracking; Collaboration and team management; Brand voice consistency; Project management Content Strategy; SEO; Multi-format Content; Editing; Digital Marketing Tools; AI Tools; Analytics; Collaboration; Brand Voice; Project Management Content strategy; SEO and keyword optimization; Content marketing; Editing and proofreading; Multi-format content creation; Digital marketing tools (Google Analytics, SEMrush, HubSpot); AI-assisted writing; Collaboration with cross-functional teams; Performance tracking and KPI analysis; Project management for content initiatives Content Strategy; SEO; Content Marketing; Editing; Multi-format Content; Digital Marketing Tools; AI Writing Tools; Collaboration; Analytics; Project Management Basic writing and grammar; SEO fundamentals; Research and fact-checking; CMS familiarity; Proofreading; Tone and style adaptation; Digital marketing awareness; AI writing tool exposure; Creativity; Time management Content Writing; SEO; Proofreading; WordPress; AI Tools; Research; Blogs; Articles; Creativity; Time Management Writing clarity and grammar; SEO basics; Keyword usage; Research skills; CMS familiarity; AI tool awareness; Content formatting; Digital marketing awareness; Communication skills; Creativity Content Writing; SEO; Keywords; CMS; AI Tools; Blogs; Articles; Editing; Research; Creativity Content strategy support; SEO optimization; Advanced writing and editing; Research and fact-checking; Multi-format content creation; CMS tools; AI-assisted content creation; Collaboration with marketing teams; Digital marketing knowledge; Time management Content Writing; SEO; Content Strategy; Editing; Research; Multi-format Content; CMS; AI Tools; Collaboration; Time Management Content strategy planning; SEO keyword research; Advanced writing and editing; Content optimization; Research and fact-checking; Multi-format content creation; Digital marketing tools (GA, SEMrush); CMS and AI tools; Collaboration and teamwork; Time management Content Strategy; SEO; Multi-format Content; Editing; Research; CMS; AI Tools; Collaboration; Digital Marketing Tools; Time Management Content strategy development; Advanced SEO and keyword optimization; Multi-format content creation; Editing and proofreading; Digital marketing tools (GA4, SEMrush, HubSpot); AI-assisted writing; Analytics and KPI tracking; Collaboration with cross-functional teams; Content calendar management; Project management Content Strategy; SEO; Multi-format Content; Editing; Digital Marketing Tools; AI Tools; Analytics; Collaboration; Project Management; Content Calendar Content strategy leadership; Advanced SEO techniques; Content marketing; Editing and proofreading; Multi-format content creation; Digital marketing tools proficiency; AI-assisted content creation; Performance tracking; Collaboration and mentoring; Project management Content Strategy; SEO; Content Marketing; Multi-format Content; Editing; Digital Marketing Tools; AI Tools; Performance Tracking; Collaboration; Project Management Writing clarity; Grammar and punctuation; Basic SEO knowledge; Content research; Proofreading; CMS familiarity; AI tools exposure; Creativity; Digital marketing awareness; Adaptable tone and style Content Writing; SEO; Proofreading; CMS; AI Tools; Research; Creativity; Blogs; Articles; Digital Marketing Content strategy support; Advanced writing and editing; SEO optimization; Research and fact-checking; Multi-format content creation; CMS proficiency; AI-assisted content creation; Collaboration; Digital marketing awareness; Time management Content Writing; SEO; Content Strategy; Editing; Research; CMS; AI Tools; Collaboration; Time Management; Multi-format Content Content strategy leadership; Advanced SEO; Multi-format content creation; Editing and proofreading; Digital marketing tools (GA, SEMrush, HubSpot); AI-assisted writing; Analytics and KPI tracking; Collaboration with cross-functional teams; Content calendar management; Project management Content Strategy; SEO; Multi-format Content; Editing; Digital Marketing Tools; AI Tools; Analytics; Collaboration; Project Management; Content Calendar Comprehensive content strategy; Advanced SEO and analytics; Content marketing; Editing and proofreading; Multi-format content creation; Digital marketing tools; AI-assisted content optimization; Cross-functional collaboration; Performance tracking and KPI analysis; Project management for content initiatives Content Strategy; SEO; Content Marketing; Multi-format Content; Editing; Digital Marketing Tools; AI Tools; Collaboration; Analytics; Project Management",4.2
Copywriter,"Clear and persuasive writing; Grammar and punctuation mastery; Proofreading and editing; Tone and style adaptation; Creativity and storytelling; Basic SEO knowledge; Research and fact-checking; Familiarity with digital marketing channels; CMS basics (WordPress, HubSpot); AI writing tool awareness Copywriting; SEO; Grammar; Proofreading; CMS; AI Tools; Digital Marketing; Storytelling; Creativity; Content Writing Persuasive copywriting; Content editing and proofreading; Creativity and storytelling; Basic SEO practices; Research and accuracy; Adaptable writing style; Email and social media familiarity; CMS usage; AI-assisted writing tools; Time management Copywriting; Content Editing; SEO; Storytelling; CMS; AI Tools; Digital Marketing; Creativity; Email Marketing; Social Media Advanced copywriting; SEO optimization; Content research; Brand voice consistency; Editing and proofreading; Digital marketing channel familiarity; CMS proficiency; AI-assisted writing tools; Storytelling and creativity; Collaboration with marketing teams Copywriting; SEO; Content Research; Editing; Brand Voice; CMS; AI Tools; Digital Marketing; Storytelling; Collaboration Strategic copywriting; SEO and keyword optimization; Content research and accuracy; Editing and proofreading; Brand voice alignment; Digital marketing expertise; CMS and AI tools; Storytelling; Collaboration and communication; Time management Copywriting; SEO; Editing; Brand Voice; CMS; AI Tools; Digital Marketing; Storytelling; Collaboration; Content Strategy Content strategy; Advanced copywriting and editing; SEO optimization and analytics; Brand messaging; Multi-format content creation; Digital marketing channels and tools; AI-assisted content creation; Collaboration and leadership; Project management; Time management Copywriting; Content Strategy; SEO; Editing; Brand Messaging; CMS; AI Tools; Digital Marketing; Collaboration; Project Management Strategic copywriting; Advanced SEO and analytics; Multi-format content creation; Editing and proofreading; Brand consistency; Digital marketing strategy; AI-assisted content optimization; Team leadership and collaboration; Project management; Performance tracking Copywriting; SEO; Content Strategy; Editing; Brand Consistency; CMS; AI Tools; Digital Marketing; Collaboration; Project Management Grammar and punctuation; Persuasive writing; Storytelling; SEO basics; Research and fact-checking; CMS familiarity; AI writing tools; Creativity; Time management; Communication Copywriting; SEO; Grammar; Proofreading; CMS; AI Tools; Storytelling; Creativity; Time Management; Communication Strategic copywriting; SEO optimization; Editing and proofreading; Research and fact-checking; Content adaptation for brand voice; Digital marketing familiarity; CMS proficiency; AI-assisted content tools; Storytelling and creativity; Team collaboration Copywriting; SEO; Editing; Brand Voice; CMS; AI Tools; Storytelling; Research; Collaboration; Content Strategy Content strategy; Advanced SEO; Multi-format copywriting; Editing and proofreading; Brand voice alignment; Digital marketing tools; AI-assisted content creation; Collaboration and leadership; Project management; Performance tracking Copywriting; Content Strategy; SEO; Editing; Brand Voice; CMS; AI Tools; Collaboration; Project Management; Digital Marketing Strategic content planning; Advanced copywriting and editing; SEO and analytics expertise; Multi-format content creation; Digital marketing integration; Brand voice consistency; AI-assisted writing tools; Team leadership; Project management; KPI analysis Copywriting; Content Strategy; SEO; Editing; Digital Marketing; Brand Voice; AI Tools; Team Leadership; Project Management; Analytics Grammar and punctuation; Persuasive writing; Basic SEO knowledge; Storytelling; Content research; CMS familiarity; AI writing tools awareness; Creativity; Time management; Communication Copywriting; SEO; Storytelling; CMS; AI Tools; Grammar; Content Research; Creativity; Communication; Time Management Advanced copywriting; SEO optimization; Content research and accuracy; Editing and proofreading; Brand voice consistency; Digital marketing tools; CMS proficiency; AI-assisted content creation; Storytelling and creativity; Collaboration Copywriting; SEO; Content Research; Editing; Brand Voice; CMS; AI Tools; Storytelling; Collaboration; Digital Marketing Strategic copywriting; Advanced SEO and analytics; Multi-format content creation; Editing and proofreading; Brand messaging and consistency; Digital marketing integration; AI-assisted writing tools; Leadership and mentoring; Project management; Performance measurement Copywriting; Content Strategy; SEO; Editing; Brand Messaging; Digital Marketing; AI Tools; Leadership; Project Management; Performance Analysis Content strategy; Advanced copywriting and editing; SEO optimization; Multi-format content creation; Digital marketing integration; Brand voice consistency; AI content tools; Team leadership; Project management; Analytics and KPI tracking Copywriting; Content Strategy; SEO; Editing; Digital Marketing; Brand Voice; AI Tools; Leadership; Project Management; Analytics Grammar and punctuation; Persuasive writing; Basic SEO knowledge; Storytelling; Research and fact-checking; CMS usage; AI writing tools; Creativity; Time management; Team collaboration Copywriting; SEO; Grammar; Storytelling; CMS; AI Tools; Research; Creativity; Collaboration; Time Management Strategic copywriting; Advanced SEO; Content research; Editing and proofreading; Brand voice consistency; CMS proficiency; AI-assisted writing tools; Digital marketing knowledge; Collaboration; Creativity Copywriting; SEO; Content Research; Editing; Brand Voice; CMS; AI Tools; Digital Marketing; Collaboration; Creativity Content strategy; Advanced copywriting; SEO optimization; Multi-format content creation; Editing and proofreading; Brand consistency; Digital marketing integration; AI-assisted content tools; Leadership; Performance tracking Copywriting; Content Strategy; SEO; Editing; Brand Voice; Digital Marketing; AI Tools; Leadership; Project Management; Analytics Strategic content planning; Advanced copywriting; SEO and analytics expertise; Editing and proofreading; Multi-format content creation; Digital marketing integration; Brand voice consistency; AI-assisted writing; Team leadership; Project and performance management Copywriting; Content Strategy; SEO; Editing; Digital Marketing; Brand Voice; AI Tools; Leadership; Project Management; Analytics Grammar and punctuation; Storytelling; Basic SEO; Content research; CMS familiarity; AI writing tools awareness; Creativity; Time management; Communication; Team collaboration Copywriting; SEO; CMS; AI Tools; Storytelling; Grammar; Research; Creativity; Communication; Collaboration Advanced copywriting; SEO optimization; Content research; Editing and proofreading; Brand voice consistency; CMS and AI tools proficiency; Digital marketing knowledge; Storytelling; Collaboration; Creativity Copywriting; SEO; Editing; Brand Voice; CMS; AI Tools; Content Research; Storytelling; Collaboration; Creativity",4.175
Cyber Defense Analyst,SOC Operations; Threat Hunting; SIEM Tools; Compliance Auditing; Firewall Management; Malware Analysis SOC; Threat Hunting; Malware Analysis; Compliance; Incident Response,6.0
Cybersecurity Analyst,Python; C++; Linux Basics; Firewall Configuration; Wireshark; Nessus; Snort; Encryption Basics; Incident Response Network Security; Penetration Testing; SIEM; Incident Response; Vulnerability Assessment; Firewalls; Malware Analysis; Risk Management Splunk; QRadar; Threat Hunting; Risk Management; Incident Response; Python; Bash; Cloud Security (AWS/Azure) Threat Hunting; SIEM; SOC; Incident Response; Risk Management; Cloud Security,2.25
Cybersecurity Intern,Python; Linux Fundamentals; NIST Basics; Snort; Antivirus Tools; Vulnerability Assessment Penetration Testing; NIST; Vulnerability Assessment; Malware Analysis; Network Security,0.0
Cybersecurity Risk Analyst,Risk Management; Compliance Auditing; Python; PowerShell; Splunk Risk Management; Compliance; Security Auditing; Incident Response; Vulnerability Assessment,4.5
Cybersecurity Support Analyst,Wireshark; Firewall Rules; Cryptography Basics; ISO 27001 Basics; Teamwork Firewall Management; Cryptography; ISO 27001; Incident Response; SIEM,0.5
Cybersecurity Trainee,C++ Basics; Wireshark; Metasploit; Linux Security; Encryption Fundamentals Penetration Testing; Encryption; Incident Response; Network Security; Malware Analysis,0.0
Data Analyst - Experienced,Predictive modeling; Machine learning algorithms; A/B testing; Time-series analysis; Advanced SQL; Python; R; SAS; Tableau; Power BI; Looker; Google Data Studio; ETL; BigQuery; Snowflake; Redshift; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Predictive Modeling; Reporting; ETL Predictive modeling; Machine learning; Time-series forecasting; Advanced SQL; Python; R; SAS; Tableau; Power BI; Looker; ETL; Data warehousing; Hadoop; Spark; Kafka; Hypothesis testing; Statistical modeling Data Analytics; BI; Senior-Level; Advanced Analytics; ETL; Dashboards Predictive modeling; Advanced analytics; Machine learning; SQL; Python; R; SAS; Tableau; Power BI; Looker; Google Data Studio; ETL pipelines; BigQuery; Snowflake; Redshift; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Predictive Modeling; ETL; Leadership Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; Google Data Studio; ETL workflows; Data engineering; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Dashboards; ETL; Reporting Predictive modeling; Machine learning; Advanced analytics; SQL; Python; R; SAS; Tableau; Power BI; Looker; Google Data Studio; ETL pipelines; BigQuery; Snowflake; Redshift; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Leadership; ETL; Predictive Modeling Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; Google Data Studio; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Dashboards; Data Engineering; Predictive Analytics Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Redshift; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Leadership; Predictive Analytics; ETL Advanced SQL; Python; R; SAS; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Dashboards; ETL; Predictive Modeling Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Dashboards; Data Engineering; Reporting Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Leadership; Predictive Analytics; ETL Advanced SQL; Python; R; Predictive modeling; Machine learning; Tableau; Power BI; Looker; ETL pipelines; BigQuery; Snowflake; Hadoop; Spark; Kafka Data Analytics; BI; Senior-Level; Dashboards; ETL; Predictive Analytics,5.136363636363637
Data Analyst - Fresher,SQL; Python; R; SAS; Tableau; Power BI; Matplotlib; Seaborn; Excel charts; Pandas; MySQL; PostgreSQL; Hadoop; Spark basics; Hypothesis testing; Regression Data Analytics; BI; Entry-Level; Fresher; Reporting; Dashboard SQL; Python; R; Tableau; Power BI; Excel charts; Pandas; MySQL; PostgreSQL; Hadoop; Spark basics; Basic statistics Data Analytics; BI; Entry-Level; Fresher; Visualization; Reporting SQL; Python; R; SAS; Tableau; Power BI; Matplotlib; Seaborn; Pandas; Excel functions; MySQL; PostgreSQL; Hadoop; Spark basics; Regression; Hypothesis testing Data Analytics; BI; Entry-Level; Fresher; Reporting; Data Cleaning SQL; Python; R; Tableau; Power BI; Excel; Pandas; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing Data Analytics; BI; Entry-Level; Fresher; Visualization; Dashboard SQL; Python; R; SAS; Tableau; Power BI; Matplotlib; Seaborn; Pandas; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing Data Analytics; BI; Entry-Level; Fresher; Dashboard; Data Cleaning SQL; Python; R; Tableau; Power BI; Matplotlib; Seaborn; Pandas; Excel functions; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing Data Analytics; BI; Entry-Level; Fresher; Reporting; Data Visualization SQL; Python; R; Tableau; Power BI; Excel charts; Pandas; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing Data Analytics; BI; Entry-Level; Fresher; ETL; Dashboard SQL; Python; R; Tableau; Power BI; Excel charts; Pandas; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing Data Analytics; BI; Entry-Level; Fresher; Data Cleaning; Dashboard SQL; Python; R; SAS; Tableau; Power BI; Matplotlib; Seaborn; Pandas; Excel functions; MySQL; PostgreSQL; Hadoop basics; Spark basics; Regression; Hypothesis testing Data Analytics; BI; Entry-Level; Fresher; Data Visualization; Reporting,0.5
Data Analyst / Data Scientist Intern,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MongoDB; MySQL; Basic ML: classification, clustering Data Scientist; Data Analyst; Python; R; SQL; Machine Learning; Internship; Data Visualization",0.5
Data Engineer,Python; Java Basics; SQL; PostgreSQL; MongoDB; Hadoop Basics; Spark Basics; ETL Fundamentals; AWS Basics; Azure Fundamentals Python; SQL; ETL; Big Data; AWS; Hadoop; MongoDB; Data Engineering Fundamentals Python; Scala Basics; MySQL; MongoDB; Airflow Basics; Linux; Spark Fundamentals; Data Modeling Basics ETL; Python; SQL; Airflow; Data Cleaning; MongoDB; Spark Basics Python; Java; PostgreSQL; MongoDB; AWS S3 Basics; Azure Basics; Hadoop Fundamentals; Analytical Thinking Python; SQL; PostgreSQL; AWS; Hadoop; ETL Fundamentals SQL; Python; Java Basics; MongoDB; Hadoop Basics; Data Structures; ETL Tools Introduction Python; SQL; ETL; Data Warehousing; Hadoop Basics Python; Scala Basics; PostgreSQL; MongoDB; Airflow Fundamentals; Spark Basics; AWS Beginner SQL; ETL; Python; MongoDB; Airflow; AWS; Spark Basics Python; Java Basics; PostgreSQL; Linux; SQL; ETL Fundamentals; AWS S3 Basics Python; SQL; ETL; AWS; Data Engineering Fundamentals Python; Scala Basics; PostgreSQL; MongoDB; Data Modeling Basics; Azure Fundamentals; Hadoop Basics ETL; Python; SQL; Azure; Hadoop Basics Python; Java; SQL; MongoDB; Airflow Basics; AWS Basics; Linux SQL; Python; ETL; Airflow; AWS Python; SQL; PostgreSQL; MongoDB; Hadoop Basics; AWS Cloud Basics Python; SQL; PostgreSQL; Hadoop; AWS Python; Java Basics; SQL; MongoDB; Spark Fundamentals; Azure Basics; ETL Basics SQL; Python; ETL; Spark Basics; Azure Python; Scala; Java; SQL Optimization; Apache Spark; Kafka; Airflow; AWS S3; Redshift Python; SQL; Spark; Kafka; ETL; AWS; Data Warehousing Python; Java; SQL; Apache Kafka; Snowflake; Airflow; AWS Glue; Hadoop Python; SQL; ETL; Snowflake; Kafka; Airflow; AWS Scala; Python; SQL; Kafka; Flink; Databricks; GCP BigQuery; Data Modeling Scala; Python; SQL; Kafka; Flink; BigQuery; Databricks Python; SQL; Spark; Hadoop; AWS EMR; Snowflake; Data Modeling; Airflow Python; SQL; Spark; Hadoop; AWS; Snowflake; Airflow Java; Python; SQL; Kafka; Airflow; GCP BigQuery; MongoDB; Data Partitioning SQL; Python; Kafka; Airflow; BigQuery Python; Scala; SQL Optimization; AWS Glue; Databricks; Flink; Snowflake; Airflow SQL; Python; AWS Glue; Snowflake; Databricks; Flink Python; Java; SQL; Spark; Kafka; AWS Redshift; Azure Data Lake; Airflow SQL; Python; Spark; Kafka; AWS; Airflow Python; SQL; Scala; Snowflake; BigQuery; Hadoop; Airflow; Kafka; Data Governance Python; SQL; Snowflake; BigQuery; Airflow; Data Governance Python; Scala; SQL; Kafka; Flink; Azure Synapse; MongoDB; Airflow Python; SQL; Kafka; Flink; Airflow; Azure Synapse Python; Java; SQL; Spark; AWS Glue; Snowflake; Data Modeling; Airflow; Kafka Python; SQL; Spark; Snowflake; AWS; Kafka; Airflow,2.25
Data Science Associate,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; Basic ML: regression, classification, clustering; Data cleaning; Data preprocessing Data Science Associate; Python; R; SQL; Machine Learning; Data Visualization; ETL",0.5
Data Science Intern,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; Basic ML: logistic regression, clustering, decision trees; Data preprocessing; Data wrangling Data Science Intern; Python; R; SQL; Machine Learning; Data Visualization; Data Analysis",0.5
Data Science Team Lead,Python; R; SQL; Java/Scala; Classification; Regression; NLP; Reinforcement Learning; Ensemble methods; Spark; Hadoop; AWS; GCP; ETL automation; Feature engineering; Predictive modeling; Tableau; PowerBI Data Science; AI; Machine Learning; Big Data; Leadership; Python; R; SQL,0.0
Data Scientist - Entry Level,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; MongoDB; Basic ML: classification, regression, clustering; Data wrangling; Data preprocessing Data Scientist; Python; R; SQL; Machine Learning; Data Analysis; Pandas; NumPy; Visualization",0.5
Data Scientist - Experienced,Python (advanced); R; SQL; Java/Scala; Regression; Classification; Clustering; Ensemble methods; Deep Learning; NLP; Reinforcement Learning; Hadoop; Spark; Tableau; PowerBI; ETL pipelines Data Scientist; Machine Learning; Python; R; SQL; Deep Learning; NLP; Big Data,4.5
Data Scientist - Fresher,"Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; MySQL; PostgreSQL; Basic ML algorithms: regression, classification, clustering Data Scientist; Python; R; SQL; Data Analysis; Visualization; Machine Learning",0.5
DevOps Cloud Architect,AWS; Azure DevOps; CI/CD pipelines; Terraform; Docker; Kubernetes; Python DevOps; Cloud Architecture; AWS; Azure; Terraform; CI/CD; Automation; Kubernetes,5.0
DevOps Engineer - Experienced,AWS; Azure; GCP; Terraform; Ansible; Jenkins; GitLab CI; CircleCI; Kubernetes; Helm; Docker Swarm; Puppet; Chef; Prometheus; ELK stack; Grafana; DevSecOps; Linux/Unix; API automation; Microservices DevOps; Cloud; Experienced; Senior-Level; CI/CD; Containerization; Automation; DevSecOps,6.0
